Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Class	Order	Family	Genus	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
Abarema jupunba	Abarema jupunba		Plantae				Fabaceae		species					
Abarema macradenia	Abarema macradenia		Plantae				Fabaceae		species					
Abies alba	Abies alba		Plantae				Pinaceae		species					
Abies amabilis	Abies amabilis		Plantae				Pinaceae		species					
Abies arizonica	Abies arizonica		Plantae				Pinaceae		species					
Abies balsamea	Abies balsamea		Plantae				Pinaceae		species					
Abies concolor	Abies concolor		Plantae				Pinaceae		species					
Abies delavayi	Abies delavayi		Plantae				Pinaceae		species					
Abies ernestii	Abies ernestii		Plantae				Pinaceae		species					
Abies fabri	Abies fabri		Plantae				Pinaceae		species					
Abies fargesii	Abies fargesii		Plantae				Pinaceae		species					
Abies faxoniana	Abies faxoniana		Plantae				Pinaceae		species					
Abies forrestii	Abies forrestii		Plantae				Pinaceae		species					
Abies georgei	Abies georgei		Plantae				Pinaceae		species					
Abies grandis	Abies grandis		Plantae				Pinaceae		species					
Abies guatemalensis	Abies guatemalensis		Plantae				Pinaceae		species					
Abies holophylla	Abies holophylla		Plantae				Pinaceae		species					
Abies lasiocarpa	Abies lasiocarpa		Plantae				Pinaceae		species					
Abies magnifica	Abies magnifica		Plantae				Pinaceae		species					
Abies nephrolepis	Abies nephrolepis		Plantae				Pinaceae		species					
Abies pindrow	Abies pindrow		Plantae				Pinaceae		species					
Abies pinsapo	Abies pinsapo		Plantae				Pinaceae		species					
Abies procera	Abies procera		Plantae				Pinaceae		species					
Abies religiosa	Abies religiosa		Plantae				Pinaceae		species					
Abuta rufescens	Abuta rufescens		Plantae				Menispermaceae		species					
Acacia acradenia	Acacia acradenia		Plantae				Fabaceae		species					
Acacia acuminata	Acacia acuminata		Plantae				Fabaceae		species					
Acacia adsurgens	Acacia adsurgens		Plantae				Fabaceae		species					
Acacia albicorticata	Acacia albicorticata		Plantae				Fabaceae		species					
Acacia alleniana	Acacia alleniana		Plantae				Fabaceae		species					
Acacia ampliceps	Acacia ampliceps		Plantae				Fabaceae		species					
Acacia amythethophylla	Acacia amythethophylla		Plantae				Fabaceae		species					
Acacia aneura	Acacia aneura		Plantae				Fabaceae		species					
Acacia angustissima	Acacia angustissima		Plantae				Fabaceae		species					
Acacia arabica	Acacia arabica		Plantae				Fabaceae		species					
Acacia aroma	Acacia aroma		Plantae				Fabaceae		species					
Acacia atkinsiana	Acacia atkinsiana		Plantae				Fabaceae		species					
Acacia aulacocarpa	Acacia aulacocarpa		Plantae				Fabaceae		species					
Acacia auriculiformis	Acacia auriculiformis		Plantae				Fabaceae		species					
Acacia bakeri	Acacia bakeri		Plantae				Fabaceae		species					
Acacia bidwillii	Acacia bidwillii		Plantae				Fabaceae		species					
Acacia bivenosa	Acacia bivenosa		Plantae				Fabaceae		species					
Acacia brachystachya	Acacia brachystachya		Plantae				Fabaceae		species					
Acacia cambagei	Acacia cambagei		Plantae				Fabaceae		species					
Acacia catechu	Acacia catechu		Plantae				Fabaceae		species					
Acacia caven	Acacia caven		Plantae				Fabaceae		species					
Acacia chisholmii	Acacia chisholmii		Plantae				Fabaceae		species					
Acacia chundra	Acacia chundra		Plantae				Fabaceae		species					
Acacia citrinoviridis	Acacia citrinoviridis		Plantae				Fabaceae		species					
Acacia cochliacantha	Acacia cochliacantha		Plantae				Fabaceae		species					
Acacia colei	Acacia colei		Plantae				Fabaceae		species					
Acacia collinsii	Acacia collinsii		Plantae				Fabaceae		species					
Acacia concurrens	Acacia concurrens		Plantae				Fabaceae		species					
Acacia confusa	Acacia confusa		Plantae				Fabaceae		species					
Acacia coriacea	Acacia coriacea		Plantae				Fabaceae		species					
Acacia craspedocarpa	Acacia craspedocarpa		Plantae				Fabaceae		species					
Acacia crassicarpa	Acacia crassicarpa		Plantae				Fabaceae		species					
Acacia dealbata	Acacia dealbata		Plantae				Fabaceae		species					
Acacia decurrens	Acacia decurrens		Plantae				Fabaceae		species					
Acacia dictyophleba	Acacia dictyophleba		Plantae				Fabaceae		species					
Acacia difficilis	Acacia difficilis		Plantae				Fabaceae		species					
Acacia doratoxylon	Acacia doratoxylon		Plantae				Fabaceae		species					
Acacia elata	Acacia elata		Plantae				Fabaceae		species					
Acacia erioloba	Acacia erioloba		Plantae				Fabaceae		species					
Acacia eriopoda	Acacia eriopoda		Plantae				Fabaceae		species					
Acacia excelsa	Acacia excelsa		Plantae				Fabaceae		species					
Acacia fasciculifera	Acacia fasciculifera		Plantae				Fabaceae		species					
Acacia ferruginea	Acacia ferruginea		Plantae				Fabaceae		species					
Acacia furcatispina	Acacia furcatispina		Plantae				Fabaceae		species					
Acacia galpinii	Acacia galpinii		Plantae				Fabaceae		species					
Acacia georginae	Acacia georginae		Plantae				Fabaceae		species					
Acacia gerrardii	Acacia gerrardii		Plantae				Fabaceae		species					
Acacia glaucocarpa	Acacia glaucocarpa		Plantae				Fabaceae		species					
Acacia goetzei	Acacia goetzei		Plantae				Fabaceae		species					
Acacia grasbyi	Acacia grasbyi		Plantae				Fabaceae		species					
Acacia harpophylla	Acacia harpophylla		Plantae				Fabaceae		species					
Acacia hemignosta	Acacia hemignosta		Plantae				Fabaceae		species					
Acacia hemsleyi	Acacia hemsleyi		Plantae				Fabaceae		species					
Acacia hindsii	Acacia hindsii		Plantae				Fabaceae		species					
Acacia holosericea	Acacia holosericea		Plantae				Fabaceae		species					
Acacia implexa	Acacia implexa		Plantae				Fabaceae		species					
Acacia irrorata	Acacia irrorata		Plantae				Fabaceae		species					
Acacia jennerae	Acacia jennerae		Plantae				Fabaceae		species					
Acacia karroo	Acacia karroo		Plantae				Fabaceae		species					
Acacia laccata	Acacia laccata		Plantae				Fabaceae		species					
Acacia lasiocalyx	Acacia lasiocalyx		Plantae				Fabaceae		species					
Acacia leucophloea	Acacia leucophloea		Plantae				Fabaceae		species					
Acacia longifolia	Acacia longifolia		Plantae				Fabaceae		species					
Acacia maconochieana	Acacia maconochieana		Plantae				Fabaceae		species					
Acacia macracantha	Acacia macracantha		Plantae				Fabaceae		species					
Acacia maidenii	Acacia maidenii		Plantae				Fabaceae		species					
Acacia mangium	Acacia mangium		Plantae				Fabaceae		species					
Acacia mayana	Acacia mayana		Plantae				Fabaceae		species					
Acacia mearnsii	Acacia mearnsii		Plantae				Fabaceae		species					
Acacia melanoxylon	Acacia melanoxylon		Plantae				Fabaceae		species					
Acacia mellifera	Acacia mellifera		Plantae				Fabaceae		species					
Acacia modesta	Acacia modesta		Plantae				Fabaceae		species					
Acacia murrayana	Acacia murrayana		Plantae				Fabaceae		species					
Acacia nilotica	Acacia nilotica		Plantae				Fabaceae		species					
Acacia omalophylla	Acacia omalophylla		Plantae				Fabaceae		species					
Acacia oraria	Acacia oraria		Plantae				Fabaceae		species					
Acacia oshanesii	Acacia oshanesii		Plantae				Fabaceae		species					
Acacia oswaldii	Acacia oswaldii		Plantae				Fabaceae		species					
Acacia pachycarpa	Acacia pachycarpa		Plantae				Fabaceae		species					
Acacia pallidifolia	Acacia pallidifolia		Plantae				Fabaceae		species					
Acacia papyrocarpa	Acacia papyrocarpa		Plantae				Fabaceae		species					
Acacia pellita	Acacia pellita		Plantae				Fabaceae		species					
Acacia pendula	Acacia pendula		Plantae				Fabaceae		species					
Acacia penninervis	Acacia penninervis		Plantae				Fabaceae		species					
Acacia peuce	Acacia peuce		Plantae				Fabaceae		species					
Acacia podalyriifolia	Acacia podalyriifolia		Plantae				Fabaceae		species					
Acacia polyacantha	Acacia polyacantha		Plantae				Fabaceae		species					
Acacia polyphylla	Acacia polyphylla		Plantae				Fabaceae		species					
Acacia praecox	Acacia praecox		Plantae				Fabaceae		species					
Acacia pruinocarpa	Acacia pruinocarpa		Plantae				Fabaceae		species					
Acacia pubescens	Acacia pubescens		Plantae				Fabaceae		species					
Acacia quadrimarginea	Acacia quadrimarginea		Plantae				Fabaceae		species					
Acacia ramulosa	Acacia ramulosa		Plantae				Fabaceae		species					
Acacia resinimarginea	Acacia resinimarginea		Plantae				Fabaceae		species					
Acacia rhodoxylon	Acacia rhodoxylon		Plantae				Fabaceae		species					
Acacia richii	Acacia richii		Plantae				Fabaceae		species					
Acacia robusta	Acacia robusta		Plantae				Fabaceae		species					
Acacia salicina	Acacia salicina		Plantae				Fabaceae		species					
Acacia sclerosperma	Acacia sclerosperma		Plantae				Fabaceae		species					
Acacia shirleyi	Acacia shirleyi		Plantae				Fabaceae		species					
Acacia sibilans	Acacia sibilans		Plantae				Fabaceae		species					
Acacia spectabilis	Acacia spectabilis		Plantae				Fabaceae		species					
Acacia stenophylla	Acacia stenophylla		Plantae				Fabaceae		species					
Acacia stipuligera	Acacia stipuligera		Plantae				Fabaceae		species					
Acacia subtessarogona	Acacia subtessarogona		Plantae				Fabaceae		species					
Acacia suma	Acacia suma		Plantae				Fabaceae		species					
Acacia tenuifolia	Acacia tenuifolia		Plantae				Fabaceae		species					
Acacia tetragonophylla	Acacia tetragonophylla		Plantae				Fabaceae		species					
Acacia tomentosa	Acacia tomentosa		Plantae				Fabaceae		species					
Acacia trinervata	Acacia trinervata		Plantae				Fabaceae		species					
Acacia tucumanensis	Acacia tucumanensis		Plantae				Fabaceae		species					
Acacia victoriae	Acacia victoriae		Plantae				Fabaceae		species					
Acacia visco	Acacia visco		Plantae				Fabaceae		species					
Acacia xanthophloea	Acacia xanthophloea		Plantae				Fabaceae		species					
Acacia xiphophylla	Acacia xiphophylla		Plantae				Fabaceae		species					
Acalypha caturus	Acalypha caturus		Plantae				Euphorbiaceae		species					
Acanthosyris falcata	Acanthosyris falcata		Plantae				Santalaceae		species					
Acanthosyris glabrata	Acanthosyris glabrata		Plantae				Santalaceae		species					
Acca sellowiana	Acca sellowiana		Plantae				Myrtaceae		species					
Acer buergerianum	Acer buergerianum		Plantae				Sapindaceae		species					
Acer caesium	Acer caesium		Plantae				Sapindaceae		species					
Acer campbellii	Acer campbellii		Plantae				Sapindaceae		species					
Acer campestre	Acer campestre		Plantae				Sapindaceae		species					
Acer catalpifolium	Acer catalpifolium		Plantae				Sapindaceae		species					
Acer cultratum	Acer cultratum		Plantae				Sapindaceae		species					
Acer davidii	Acer davidii		Plantae				Sapindaceae		species					
Acer decandrum	Acer decandrum		Plantae				Sapindaceae		species					
Acer laurinum	Acer laurinum		Plantae				Sapindaceae		species					
Acer macrophyllum	Acer macrophyllum		Plantae				Sapindaceae		species					
Acer mandshuricum	Acer mandshuricum		Plantae				Sapindaceae		species					
Acer mono	Acer mono		Plantae				Sapindaceae		species					
Acer negundo	Acer negundo		Plantae				Sapindaceae		species					
Acer nigrum	Acer nigrum		Plantae				Sapindaceae		species					
Acer niveum	Acer niveum		Plantae				Sapindaceae		species					
Acer oblongum	Acer oblongum		Plantae				Sapindaceae		species					
Acer pennsylvanicum	Acer pennsylvanicum		Plantae				Sapindaceae		species					
Acer pensylvanicum	Acer pensylvanicum		Plantae				Sapindaceae		species					
Acer pictum	Acer pictum		Plantae				Sapindaceae		species					
Acer platanoides	Acer platanoides		Plantae				Sapindaceae		species					
Acer pseudoplatanus	Acer pseudoplatanus		Plantae				Sapindaceae		species					
Acer rubrum	Acer rubrum		Plantae				Sapindaceae		species					
Acer saccharinum	Acer saccharinum		Plantae				Sapindaceae		species					
Acer saccharum	Acer saccharum		Plantae				Sapindaceae		species					
Acer sterculiaceum	Acer sterculiaceum		Plantae				Sapindaceae		species					
Acer truncatum	Acer truncatum		Plantae				Sapindaceae		species					
Aceratium concinnum	Aceratium concinnum		Plantae				Elaeocarpaceae		species					
Aceratium doggrellii	Aceratium doggrellii		Plantae				Elaeocarpaceae		species					
Aceratium megalospermum	Aceratium megalospermum		Plantae				Elaeocarpaceae		species					
Aceratium sericeum	Aceratium sericeum		Plantae				Elaeocarpaceae		species					
Acioa edulis	Acioa edulis		Plantae				Chrysobalanaceae		species					
Acioa guianensis	Acioa guianensis		Plantae				Chrysobalanaceae		species					
Acmanthera latifolia	Acmanthera latifolia		Plantae				Malpighiaceae		species					
Acmena acuminatissima	Acmena acuminatissima		Plantae				Myrtaceae		species					
Acmena graveolens	Acmena graveolens		Plantae				Myrtaceae		species					
Acmena hemilampra	Acmena hemilampra		Plantae				Myrtaceae		species					
Acmena ingens	Acmena ingens		Plantae				Myrtaceae		species					
Acmena macrocarpa	Acmena macrocarpa		Plantae				Myrtaceae		species					
Acmena resa	Acmena resa		Plantae				Myrtaceae		species					
Acmena smithii	Acmena smithii		Plantae				Myrtaceae		species					
Acmenosperma claviflorum	Acmenosperma claviflorum		Plantae				Myrtaceae		species					
Acokanthera oppositifolia	Acokanthera oppositifolia		Plantae				Apocynaceae		species					
Acosmium dasycarpum	Acosmium dasycarpum		Plantae				Fabaceae		species					
Acosmium nitens	Acosmium nitens		Plantae				Fabaceae		species					
Acosmium panamense	Acosmium panamense		Plantae				Fabaceae		species					
Acosmium praeclarum	Acosmium praeclarum		Plantae				Fabaceae		species					
Acradenia euodiiformis	Acradenia euodiiformis		Plantae				Rutaceae		species					
Acradenia frankliniae	Acradenia frankliniae		Plantae				Rutaceae		species					
Acrocarpus fraxinifolius	Acrocarpus fraxinifolius		Plantae				Fabaceae		species					
Acronychia acidula	Acronychia acidula		Plantae				Rutaceae		species					
Acronychia acronychioides	Acronychia acronychioides		Plantae				Rutaceae		species					
Acronychia goniocarpa	Acronychia goniocarpa		Plantae				Rutaceae		species					
Acronychia haplophylla	Acronychia haplophylla		Plantae				Rutaceae		species					
Acronychia laevis	Acronychia laevis		Plantae				Rutaceae		species					
Acronychia melicopoides	Acronychia melicopoides		Plantae				Rutaceae		species					
Acronychia octandra	Acronychia octandra		Plantae				Rutaceae		species					
Acronychia oligophlebia	Acronychia oligophlebia		Plantae				Rutaceae		species					
Acronychia pedunculata	Acronychia pedunculata		Plantae				Rutaceae		species					
Acronychia porteri	Acronychia porteri		Plantae				Rutaceae		species					
Acronychia pullei	Acronychia pullei		Plantae				Rutaceae		species					
Acronychia trifoliolata	Acronychia trifoliolata		Plantae				Rutaceae		species					
Acronychia vestita	Acronychia vestita		Plantae				Rutaceae		species					
Acronychia wilcoxiana	Acronychia wilcoxiana		Plantae				Rutaceae		species					
Actinodaphne borneensis	Actinodaphne borneensis		Plantae				Lauraceae		species					
Actinodaphne glabra	Actinodaphne glabra		Plantae				Lauraceae		species					
Actinodaphne glomerata	Actinodaphne glomerata		Plantae				Lauraceae		species					
Actinodaphne maingayi	Actinodaphne maingayi		Plantae				Lauraceae		species					
Actinodaphne malaccensis	Actinodaphne malaccensis		Plantae				Lauraceae		species					
Actinodaphne procera	Actinodaphne procera		Plantae				Lauraceae		species					
Actinodaphne sesquipedalis	Actinodaphne sesquipedalis		Plantae				Lauraceae		species					
Actinodaphne sphaerocarpa	Actinodaphne sphaerocarpa		Plantae				Lauraceae		species					
Actinostemon lanceolatus	Actinostemon lanceolatus		Plantae				Euphorbiaceae		species					
Adansonia digitata	Adansonia digitata		Plantae				Malvaceae		species					
Adelia oaxacana	Adelia oaxacana		Plantae				Euphorbiaceae		species					
Adelia triloba	Adelia triloba		Plantae				Euphorbiaceae		species					
Adenanthera bicolor	Adenanthera bicolor		Plantae				Fabaceae		species					
Adenanthera intermedia	Adenanthera intermedia		Plantae				Fabaceae		species					
Adenanthera microsperma	Adenanthera microsperma		Plantae				Fabaceae		species					
Adenanthera pavonina	Adenanthera pavonina		Plantae				Fabaceae		species					
Adenanthera tamarindifolia	Adenanthera tamarindifolia		Plantae				Fabaceae		species					
Adenostoma fasciculatum	Adenostoma fasciculatum		Plantae				Rosaceae		species					
Adina cordifolia	Adina cordifolia		Plantae				Rubiaceae		species					
Adina globiflora	Adina globiflora		Plantae				Rubiaceae		species					
Adina microcephala	Adina microcephala		Plantae				Rubiaceae		species					
Adina pilulifera	Adina pilulifera		Plantae				Rubiaceae		species					
Adina polycephala	Adina polycephala		Plantae				Rubiaceae		species					
Adina rubescens	Adina rubescens		Plantae				Rubiaceae		species					
Adina sessilifolia	Adina sessilifolia		Plantae				Rubiaceae		species					
Adinandra acuminata	Adinandra acuminata		Plantae				Pentaphylacaeae		species					
Adinandra acutifolia	Adinandra acutifolia		Plantae				Pentaphylacaeae		species					
Adinandra borneensis	Adinandra borneensis		Plantae				Pentaphylacaeae		species					
Adinandra collina	Adinandra collina		Plantae				Pentaphylacaeae		species					
Adinandra cordifolia	Adinandra cordifolia		Plantae				Pentaphylacaeae		species					
Adinandra dasyantha	Adinandra dasyantha		Plantae				Pentaphylacaeae		species					
Adinandra dumosa	Adinandra dumosa		Plantae				Pentaphylacaeae		species					
Adinandra forbesii	Adinandra forbesii		Plantae				Pentaphylacaeae		species					
Adinandra hainanensis	Adinandra hainanensis		Plantae				Pentaphylacaeae		species					
Adinandra integerrima	Adinandra integerrima		Plantae				Pentaphylacaeae		species					
Adinandra javanica	Adinandra javanica		Plantae				Pentaphylacaeae		species					
Adinandra lamponga	Adinandra lamponga		Plantae				Pentaphylacaeae		species					
Adinandra maculosa	Adinandra maculosa		Plantae				Pentaphylacaeae		species					
Adinandra millettii	Adinandra millettii		Plantae				Pentaphylacaeae		species					
Adinandra polyneura	Adinandra polyneura		Plantae				Pentaphylacaeae		species					
Adinandra rantepaoensis	Adinandra rantepaoensis		Plantae				Pentaphylacaeae		species					
Adinandra sarosanthera	Adinandra sarosanthera		Plantae				Pentaphylacaeae		species					
Adinandra subauriculata	Adinandra subauriculata		Plantae				Pentaphylacaeae		species					
Adinandra subunguiculata	Adinandra subunguiculata		Plantae				Pentaphylacaeae		species					
Adinauclea fagifolia	Adinauclea fagifolia		Plantae				Rubiaceae		species					
Adiscanthus fusciflorus	Adiscanthus fusciflorus		Plantae				Rutaceae		species					
Aegiceras corniculatum	Aegiceras corniculatum		Plantae				Myrsinaceae		species					
Aegiceras floridum	Aegiceras floridum		Plantae				Myrsinaceae		species					
Aegiphila integrifolia	Aegiphila integrifolia		Plantae				Lamiaceae		species					
Aegiphila intermedia	Aegiphila intermedia		Plantae				Lamiaceae		species					
Aegiphila klotzkiana	Aegiphila klotzkiana		Plantae				Lamiaceae		species					
Aegle marmelos	Aegle marmelos		Plantae				Rutaceae		species					
Aesculus chinensis	Aesculus chinensis		Plantae				Sapindaceae		species					
Aesculus flava	Aesculus flava		Plantae				Sapindaceae		species					
Aesculus hippocastanum	Aesculus hippocastanum		Plantae				Sapindaceae		species					
Aesculus indica	Aesculus indica		Plantae				Sapindaceae		species					
Aesculus octandra	Aesculus octandra		Plantae				Sapindaceae		species					
Aesculus turbinata	Aesculus turbinata		Plantae				Sapindaceae		species					
Aetoxylon sympetalum	Aetoxylon sympetalum		Plantae				Thymelaeaceae		species					
Afrocrania volkensii	Afrocrania volkensii		Plantae				Cornaceae		species					
Afzelia africana	Afzelia africana		Plantae				Fabaceae		species					
Afzelia bella	Afzelia bella		Plantae				Fabaceae		species					
Afzelia bipindensis	Afzelia bipindensis		Plantae				Fabaceae		species					
Afzelia bracteata	Afzelia bracteata		Plantae				Fabaceae		species					
Afzelia javanica	Afzelia javanica		Plantae				Fabaceae		species					
Afzelia pachyloba	Afzelia pachyloba		Plantae				Fabaceae		species					
Afzelia parviflora	Afzelia parviflora		Plantae				Fabaceae		species					
Afzelia quanzensis	Afzelia quanzensis		Plantae				Fabaceae		species					
Afzelia rhomboidea	Afzelia rhomboidea		Plantae				Fabaceae		species					
Agathis alba	Agathis alba		Plantae				Araucariaceae		species					
Agathis atropurpurea	Agathis atropurpurea		Plantae				Araucariaceae		species					
Agathis australis	Agathis australis		Plantae				Araucariaceae		species					
Agathis borneensis	Agathis borneensis		Plantae				Araucariaceae		species					
Agathis dammara	Agathis dammara		Plantae				Araucariaceae		species					
Agathis labillardieri	Agathis labillardieri		Plantae				Araucariaceae		species					
Agathis microstachya	Agathis microstachya		Plantae				Araucariaceae		species					
Agathis philippinensis	Agathis philippinensis		Plantae				Araucariaceae		species					
Agathis robusta	Agathis robusta		Plantae				Araucariaceae		species					
Agathis vitiensis	Agathis vitiensis		Plantae				Araucariaceae		species					
Aglaia agglomerata	Aglaia agglomerata		Plantae				Meliaceae		species					
Aglaia argentea	Aglaia argentea		Plantae				Meliaceae		species					
Aglaia aspera	Aglaia aspera		Plantae				Meliaceae		species					
Aglaia cordata	Aglaia cordata		Plantae				Meliaceae		species					
Aglaia cucullata	Aglaia cucullata		Plantae				Meliaceae		species					
Aglaia dasyclada	Aglaia dasyclada		Plantae				Meliaceae		species					
Aglaia edulis	Aglaia edulis		Plantae				Meliaceae		species					
Aglaia elaeagnoidea	Aglaia elaeagnoidea		Plantae				Meliaceae		species					
Aglaia elliptica	Aglaia elliptica		Plantae				Meliaceae		species					
Aglaia exstipulata	Aglaia exstipulata		Plantae				Meliaceae		species					
Aglaia forbesii	Aglaia forbesii		Plantae				Meliaceae		species					
Aglaia grandis	Aglaia grandis		Plantae				Meliaceae		species					
Aglaia griffithii	Aglaia griffithii		Plantae				Meliaceae		species					
Aglaia hiernii	Aglaia hiernii		Plantae				Meliaceae		species					
Aglaia lanceolata	Aglaia lanceolata		Plantae				Meliaceae		species					
Aglaia lawii	Aglaia lawii		Plantae				Meliaceae		species					
Aglaia leptantha	Aglaia leptantha		Plantae				Meliaceae		species					
Aglaia leucophylla	Aglaia leucophylla		Plantae				Meliaceae		species					
Aglaia luzoniensis	Aglaia luzoniensis		Plantae				Meliaceae		species					
Aglaia macrocarpa	Aglaia macrocarpa		Plantae				Meliaceae		species					
Aglaia maingayi	Aglaia maingayi		Plantae				Meliaceae		species					
Aglaia malaccensis	Aglaia malaccensis		Plantae				Meliaceae		species					
Aglaia merostela	Aglaia merostela		Plantae				Meliaceae		species					
Aglaia multinervis	Aglaia multinervis		Plantae				Meliaceae		species					
Aglaia nitidula	Aglaia nitidula		Plantae				Meliaceae		species					
Aglaia odoratissima	Aglaia odoratissima		Plantae				Meliaceae		species					
Aglaia pachyphylla	Aglaia pachyphylla		Plantae				Meliaceae		species					
Aglaia perviridis	Aglaia perviridis		Plantae				Meliaceae		species					
Aglaia ridleyi	Aglaia ridleyi		Plantae				Meliaceae		species					
Aglaia roxburghiana	Aglaia roxburghiana		Plantae				Meliaceae		species					
Aglaia rubescens	Aglaia rubescens		Plantae				Meliaceae		species					
Aglaia rubiginosa	Aglaia rubiginosa		Plantae				Meliaceae		species					
Aglaia sapindina	Aglaia sapindina		Plantae				Meliaceae		species					
Aglaia silvestris	Aglaia silvestris		Plantae				Meliaceae		species					
Aglaia simplicifolia	Aglaia simplicifolia		Plantae				Meliaceae		species					
Aglaia spectabilis	Aglaia spectabilis		Plantae				Meliaceae		species					
Aglaia subcuprea	Aglaia subcuprea		Plantae				Meliaceae		species					
Aglaia tenuicaulis	Aglaia tenuicaulis		Plantae				Meliaceae		species					
Aglaia tomentosa	Aglaia tomentosa		Plantae				Meliaceae		species					
Aglaia unifoliolata	Aglaia unifoliolata		Plantae				Meliaceae		species					
Aglaia wallichii	Aglaia wallichii		Plantae				Meliaceae		species					
Agonandra brasiliensis	Agonandra brasiliensis		Plantae				Opiliaceae		species					
Agonandra silvatica	Agonandra silvatica		Plantae				Opiliaceae		species					
Agrostistachys borneensis	Agrostistachys borneensis		Plantae				Euphorbiaceae		species					
Agrostistachys gaudichaudii	Agrostistachys gaudichaudii		Plantae				Euphorbiaceae		species					
Aidia micrantha	Aidia micrantha		Plantae				Rubiaceae		species					
Aidia ochroleuca	Aidia ochroleuca		Plantae				Rubiaceae		species					
Aidia racemosa	Aidia racemosa		Plantae				Rubiaceae		species					
Ailanthus altissima	Ailanthus altissima		Plantae				Simaroubaceae		species					
Ailanthus excelsa	Ailanthus excelsa		Plantae				Simaroubaceae		species					
Ailanthus integrifolia	Ailanthus integrifolia		Plantae				Simaroubaceae		species					
Ailanthus peekelii	Ailanthus peekelii		Plantae				Simaroubaceae		species					
Ailanthus triphysa	Ailanthus triphysa		Plantae				Simaroubaceae		species					
Aiouea impressa	Aiouea impressa		Plantae				Lauraceae		species					
Aistopetalum viticoides	Aistopetalum viticoides		Plantae				Cunoniaceae		species					
Akania bidwillii	Akania bidwillii		Plantae				Akaniaceae		species					
Alangium chinense	Alangium chinense		Plantae				Cornaceae		species					
Alangium griffithii	Alangium griffithii		Plantae				Cornaceae		species					
Alangium javanicum	Alangium javanicum		Plantae				Cornaceae		species					
Alangium kurzii	Alangium kurzii		Plantae				Cornaceae		species					
Alangium longiflorum	Alangium longiflorum		Plantae				Cornaceae		species					
Alangium maliliense	Alangium maliliense		Plantae				Cornaceae		species					
Alangium nobile	Alangium nobile		Plantae				Cornaceae		species					
Alangium ridleyi	Alangium ridleyi		Plantae				Cornaceae		species					
Alangium salviifolium	Alangium salviifolium		Plantae				Cornaceae		species					
Alangium villosum	Alangium villosum		Plantae				Cornaceae		species					
Albizia acle	Albizia acle		Plantae				Fabaceae		species					
Albizia adianthifolia	Albizia adianthifolia		Plantae				Fabaceae		species					
Albizia amara	Albizia amara		Plantae				Fabaceae		species					
Albizia antunesiana	Albizia antunesiana		Plantae				Fabaceae		species					
Albizia brevifolia	Albizia brevifolia		Plantae				Fabaceae		species					
Albizia chinensis	Albizia chinensis		Plantae				Fabaceae		species					
Albizia coriaria	Albizia coriaria		Plantae				Fabaceae		species					
Albizia dinklagei	Albizia dinklagei		Plantae				Fabaceae		species					
Albizia falcata	Albizia falcata		Plantae				Fabaceae		species					
Albizia falcataria	Albizia falcataria		Plantae				Fabaceae		species					
Albizia ferruginea	Albizia ferruginea		Plantae				Fabaceae		species					
Albizia glaberrima	Albizia glaberrima		Plantae				Fabaceae		species					
Albizia grandibracteata	Albizia grandibracteata		Plantae				Fabaceae		species					
Albizia guachapele	Albizia guachapele		Plantae				Fabaceae		species					
Albizia gummifera	Albizia gummifera		Plantae				Fabaceae		species					
Albizia inundata	Albizia inundata		Plantae				Fabaceae		species					
Albizia kalkora	Albizia kalkora		Plantae				Fabaceae		species					
Albizia lebbeck	Albizia lebbeck		Plantae				Fabaceae		species					
Albizia lebbek	Albizia lebbek		Plantae				Fabaceae		species					
Albizia lebbekoides	Albizia lebbekoides		Plantae				Fabaceae		species					
Albizia lucida	Albizia lucida		Plantae				Fabaceae		species					
Albizia lucidior	Albizia lucidior		Plantae				Fabaceae		species					
Albizia marginata	Albizia marginata		Plantae				Fabaceae		species					
Albizia niopoides	Albizia niopoides		Plantae				Fabaceae		species					
Albizia odoratissima	Albizia odoratissima		Plantae				Fabaceae		species					
Albizia pedicellata	Albizia pedicellata		Plantae				Fabaceae		species					
Albizia pistaciifolia	Albizia pistaciifolia		Plantae				Fabaceae		species					
Albizia procera	Albizia procera		Plantae				Fabaceae		species					
Albizia purpusii	Albizia purpusii		Plantae				Fabaceae		species					
Albizia retusa	Albizia retusa		Plantae				Fabaceae		species					
Albizia saman	Albizia saman		Plantae				Fabaceae		species					
Albizia saponaria	Albizia saponaria		Plantae				Fabaceae		species					
Albizia schimperiana	Albizia schimperiana		Plantae				Fabaceae		species					
Albizia splendens	Albizia splendens		Plantae				Fabaceae		species					
Albizia sumatrana	Albizia sumatrana		Plantae				Fabaceae		species					
Albizia tanganyicensis	Albizia tanganyicensis		Plantae				Fabaceae		species					
Albizia tomentella	Albizia tomentella		Plantae				Fabaceae		species					
Albizia umbrosa	Albizia umbrosa		Plantae				Fabaceae		species					
Albizia versicolor	Albizia versicolor		Plantae				Fabaceae		species					
Albizia zimmermannii	Albizia zimmermannii		Plantae				Fabaceae		species					
Albizia zygia	Albizia zygia		Plantae				Fabaceae		species					
Alchornea brachygyne	Alchornea brachygyne		Plantae				Euphorbiaceae		species					
Alchornea castaneifolia	Alchornea castaneifolia		Plantae				Euphorbiaceae		species					
